Wojewodztwo;X1;X2;X3;X4;X5;X6
DOLNOŚLĄSKIE;39.49;8359.59;1589;4,6;436;11637
KUJAWSKO-POMORSKIE;28.96;7322.89;1159;7,3;286;8909
LUBELSKIE;22.56;7374.45;1084;7,4;337;8621
LUBUSKIE;37.82;7425.38;1386;4,5;127;10402
ŁÓDZKIE;27,08;7646.62;1236;5,4;293;9139
MAŁOPOLSKIE;28.93;8249.31;1456;4,1;457;9636
MAZOWIECKIE;26.99;9488.94;1911;4;516;20911
OPOLSKIE;29.55;7536.33;1232;5,9;233;11362
PODKARPACKIE;17.92;7175.92;1038;8,7;221;9442
PODLASKIE;20.95;7446.2;1093;7;262;10553
POMORSKIE;27.68;8066.89;1567;4,6;403;12336
ŚLĄSKIE;36.27;8096.38;1271;3,6;282;10896
ŚWIĘTOKRZYSKIE;24.85;7236.58;1140;7,6;166;7967
WARMIŃSKO-MAZURSKIE;25.74;7133.9;1113;8,4;173;7741
WIELKOPOLSKIE;27.76;7428.35;1491;2,9;324;10870
ZACHODNIOPOMORSKIE;34.24;7512.51;1572;6,8;229;11426
